Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/4/2021,2021,Pitcher X,Right,4,1,Right,2,1,0,FASTBALL,90.29803395,16.33320267,0.128316181,6.81337664,0.464962213,6.207619125,2.560783427,-0.295444264,2028.53828,192.7053073,0.788619637,0.118153669,0.093178304
4/4/2021,2021,Pitcher X,Right,4,1,Right,3,1,1,FASTBALL,91.06469001,19.58233073,0.913777661,6.772496384,0.764523635,6.319690029,1.939426423,0.69378591,2071.542692,190.9887039,0.349491417,0.073629454,0.025732862
4/4/2021,2021,Pitcher X,Right,4,2,Left,1,0,0,FASTBALL,92.59424076,20.44593203,1.864696423,6.854999319,0.661846996,6.172670714,2.381196268,-0.016570812,2218.330266,194.0821641,0.499335766,0.087277927,0.04358099
4/4/2021,2021,Pitcher X,Right,4,2,Left,2,0,1,CHANGEUP,83.03218936,9.678351447,12.2819304,6.717477839,0.647694798,6.192843969,0.982328041,0.144848701,1340.270791,218.994085,0.476185948,0.645618796,0.307434598
4/4/2021,2021,Pitcher X,Right,4,2,Left,3,1,1,FASTBALL,91.51386186,19.21108208,1.05677247,6.869353662,0.616963824,6.20028791,2.817276727,-0.597200106,2139.917647,194.1818205,0.91960746,0.072538815,0.066707236
4/4/2021,2021,Pitcher X,Right,4,2,Left,4,1,2,FASTBALL,90.89125724,17.73452767,1.115206787,6.869375812,0.870986049,6.130214922,4.97865735,0.447400449,2019.010386,200.7865483,0.010307609,0.753385603,0.007765604
4/4/2021,2021,Pitcher X,Right,4,2,Left,5,2,2,CURVEBALL,75.45899442,-11.74473216,-9.240255918,6.916788261,0.610881654,5.895640722,1.944912505,0.085369307,2643.892915,20.23358817,0.948721111,0.155198783,0.147240362
4/4/2021,2021,Pitcher X,Right,4,3,Right,1,0,0,CURVEBALL,77.92577412,-7.958547472,-8.778403828,6.836705439,0.651837204,6.172439518,1.675194719,0.457011965,2688.267272,28.19947972,0.299007863,0.230407089,0.068893531
4/4/2021,2021,Pitcher X,Right,4,3,Right,2,0,1,FASTBALL,91.77347864,20.51467673,0.724079919,6.890991505,0.509082501,6.22982056,2.982385435,-0.697994528,2149.278411,198.1091299,0.799210131,0.291959971,0.233337367
4/4/2021,2021,Pitcher X,Right,4,3,Right,3,0,2,FASTBALL,91.00581464,18.68095112,0.633529348,6.876512461,0.613583647,6.128277682,4.256568243,-0.118256858,2102.782157,197.9995505,0.316063136,0.474375069,0.149932472
